location,book_table,name
BTM,No,4916
BTM,Yes,167
Banashankari,No,841
Banashankari,Yes,63
Banaswadi,No,640
Banaswadi,Yes,8
Bannerghatta Road,No,1516
Bannerghatta Road,Yes,99
Basavanagudi,No,668
Basavanagudi,Yes,16
Bellandur,No,1185
Bellandur,Yes,98
Brigade Road,No,1034
Brigade Road,Yes,176
Brookefield,No,582
Brookefield,Yes,74
Church Street,No,385
Church Street,Yes,181
Commercial Street,No,370
Cunningham Road,No,315
Cunningham Road,Yes,175
Domlur,No,427
Domlur,Yes,55
Ejipura,No,433
Electronic City,No,1157
Electronic City,Yes,98
Frazer Town,No,706
Frazer Town,Yes,8
HSR,No,2289
HSR,Yes,217
Indiranagar,No,1583
Indiranagar,Yes,448
JP Nagar,No,1914
JP Nagar,Yes,315
Jayanagar,No,1639
Jayanagar,Yes,279
Kalyan Nagar,No,701
Kalyan Nagar,Yes,149
Kammanahalli,No,595
Kammanahalli,Yes,49
Koramangala 1st Block,No,1186
Koramangala 1st Block,Yes,50
Koramangala 4th Block,No,695
Koramangala 4th Block,Yes,322
Koramangala 5th Block,No,1787
Koramangala 5th Block,Yes,692
Koramangala 6th Block,No,1030
Koramangala 6th Block,Yes,112
Koramangala 7th Block,No,1012
Koramangala 7th Block,Yes,162
Koramangala 8th Block,No,285
Koramangala 8th Block,Yes,17
Lavelle Road,No,290
Lavelle Road,Yes,228
MG Road,No,546
MG Road,Yes,347
Malleshwaram,No,632
Malleshwaram,Yes,89
Marathahalli,No,1663
Marathahalli,Yes,163
New BEL Road,No,591
New BEL Road,Yes,56
Old Airport Road,No,384
Old Airport Road,Yes,59
Rajajinagar,No,550
Rajajinagar,Yes,41
Residency Road,No,522
Residency Road,Yes,149
Richmond Road,No,687
Richmond Road,Yes,116
Sarjapur Road,No,899
Sarjapur Road,Yes,154
Shanti Nagar,No,451
Shanti Nagar,Yes,57
Shivajinagar,No,475
Shivajinagar,Yes,23
St. Marks Road,No,228
St. Marks Road,Yes,124
Ulsoor,No,834
Ulsoor,Yes,177
Whitefield,No,1876
Whitefield,Yes,253
others,No,4330
others,Yes,350
